customer_id,annual_spending,purchase_frequency,age,cluster,cluster_label
124,2897.2234058115787,26,29,1,"High-Spending, Frequent Buyers"
125,5880.285640700406,20,40,0,"Low-Spending, Infrequent Buyers"
126,8285.683438714968,18,31,0,"Low-Spending, Infrequent Buyers"
127,3514.1955123039675,21,34,1,"High-Spending, Frequent Buyers"
128,4150.553405595842,19,42,2,"Moderate-Spending, Occasional Buyers"
129,5149.477047631462,15,18,0,"Low-Spending, Infrequent Buyers"
130,4244.786518825701,16,48,2,"Moderate-Spending, Occasional Buyers"
131,2674.004853400801,13,36,2,"Moderate-Spending, Occasional Buyers"
132,5102.844462209041,24,31,1,"High-Spending, Frequent Buyers"
133,3406.544429410843,22,34,1,"High-Spending, Frequent Buyers"
134,5710.388645952772,28,35,1,"High-Spending, Frequent Buyers"
135,3620.863648649295,19,18,1,"High-Spending, Frequent Buyers"
136,7324.90160752631,20,50,0,"Low-Spending, Infrequent Buyers"
137,3825.120061495644,20,35,2,"Moderate-Spending, Occasional Buyers"
138,4516.907725691487,13,39,2,"Moderate-Spending, Occasional Buyers"
139,6220.275826054505,14,45,0,"Low-Spending, Infrequent Buyers"
140,3153.703525349067,24,25,1,"High-Spending, Frequent Buyers"
141,5341.189901906194,17,40,2,"Moderate-Spending, Occasional Buyers"
142,6960.714131423642,13,32,0,"Low-Spending, Infrequent Buyers"
143,2588.7751481581586,21,43,2,"Moderate-Spending, Occasional Buyers"
144,5276.950787798456,19,18,1,"High-Spending, Frequent Buyers"
145,5389.824191372635,21,34,1,"High-Spending, Frequent Buyers"
146,6172.734307665965,28,29,1,"High-Spending, Frequent Buyers"
147,3144.5739336828774,14,39,2,"Moderate-Spending, Occasional Buyers"
148,3019.3150803735853,18,40,2,"Moderate-Spending, Occasional Buyers"
149,5782.912348425347,24,28,1,"High-Spending, Frequent Buyers"
150,5445.477009849779,12,28,0,"Low-Spending, Infrequent Buyers"
151,5375.739275518815,15,34,0,"Low-Spending, Infrequent Buyers"
152,5519.672314245464,22,26,1,"High-Spending, Frequent Buyers"
153,3979.9629176322637,28,43,2,"Moderate-Spending, Occasional Buyers"
154,5348.380545741506,21,31,1,"High-Spending, Frequent Buyers"
155,5439.608709948022,15,18,0,"Low-Spending, Infrequent Buyers"
156,3928.4728729604485,19,31,1,"High-Spending, Frequent Buyers"
157,7798.661766717135,18,25,0,"Low-Spending, Infrequent Buyers"
158,5710.749381367681,32,19,1,"High-Spending, Frequent Buyers"
159,3213.044754196027,17,23,1,"High-Spending, Frequent Buyers"
160,5984.830412950745,19,36,0,"Low-Spending, Infrequent Buyers"
161,3537.977494659018,22,48,2,"Moderate-Spending, Occasional Buyers"
162,6180.626905613678,22,38,0,"Low-Spending, Infrequent Buyers"
163,6737.893368511106,15,29,0,"Low-Spending, Infrequent Buyers"
164,3768.976522472434,24,40,2,"Moderate-Spending, Occasional Buyers"
165,6445.064193866483,11,30,0,"Low-Spending, Infrequent Buyers"
166,5619.171390404747,14,28,0,"Low-Spending, Infrequent Buyers"
167,6233.090239991735,17,23,0,"Low-Spending, Infrequent Buyers"
168,7845.189473980921,23,18,0,"Low-Spending, Infrequent Buyers"
169,4631.917825995694,25,31,1,"High-Spending, Frequent Buyers"
170,3869.3957534637657,17,37,2,"Moderate-Spending, Occasional Buyers"
171,3665.728355561715,20,34,1,"High-Spending, Frequent Buyers"
172,3776.2845725518428,19,31,1,"High-Spending, Frequent Buyers"
173,4884.3474358788435,18,26,1,"High-Spending, Frequent Buyers"
174,5511.727962224966,24,41,2,"Moderate-Spending, Occasional Buyers"
175,5415.036198995029,19,22,1,"High-Spending, Frequent Buyers"
176,6240.774873554035,24,43,2,"Moderate-Spending, Occasional Buyers"
177,5019.502837816861,20,25,1,"High-Spending, Frequent Buyers"
178,7180.301115735975,31,27,1,"High-Spending, Frequent Buyers"
179,4603.014750143066,13,20,0,"Low-Spending, Infrequent Buyers"
180,9080.253749884429,19,30,0,"Low-Spending, Infrequent Buyers"
181,5938.501021647509,13,45,0,"Low-Spending, Infrequent Buyers"
182,3714.2636653755762,15,40,2,"Moderate-Spending, Occasional Buyers"
183,3393.6612529083313,23,45,2,"Moderate-Spending, Occasional Buyers"
184,5723.708622864778,18,40,0,"Low-Spending, Infrequent Buyers"
185,4664.805822011223,19,24,1,"High-Spending, Frequent Buyers"
186,6071.0007411381375,24,32,1,"High-Spending, Frequent Buyers"
187,5709.856436860317,23,27,1,"High-Spending, Frequent Buyers"
188,4890.756631014691,19,48,2,"Moderate-Spending, Occasional Buyers"
189,3729.8094228973923,22,23,1,"High-Spending, Frequent Buyers"
190,2727.729162971203,11,44,2,"Moderate-Spending, Occasional Buyers"
191,4330.227571899468,15,44,2,"Moderate-Spending, Occasional Buyers"
192,6284.598191485208,20,53,2,"Moderate-Spending, Occasional Buyers"
193,5321.1406161953055,9,31,0,"Low-Spending, Infrequent Buyers"
194,3131.3918319320182,23,42,2,"Moderate-Spending, Occasional Buyers"
195,5259.771388776773,12,58,2,"Moderate-Spending, Occasional Buyers"
196,5577.9760695932555,18,29,0,"Low-Spending, Infrequent Buyers"
197,3674.2138456983002,18,20,1,"High-Spending, Frequent Buyers"
198,5230.587658918292,22,18,1,"High-Spending, Frequent Buyers"
199,5087.3130776689995,15,42,2,"Moderate-Spending, Occasional Buyers"
200,3285.5445532540652,22,18,1,"High-Spending, Frequent Buyers"
201,5536.681040522425,17,31,0,"Low-Spending, Infrequent Buyers"
202,5841.176789552352,17,39,0,"Low-Spending, Infrequent Buyers"
203,6624.576864762916,22,37,0,"Low-Spending, Infrequent Buyers"
204,6580.703078052355,16,39,0,"Low-Spending, Infrequent Buyers"
205,2933.4959480643633,21,37,2,"Moderate-Spending, Occasional Buyers"
206,3593.262440127316,22,48,2,"Moderate-Spending, Occasional Buyers"
207,5772.55290081299,24,25,1,"High-Spending, Frequent Buyers"
208,5770.678926368313,21,28,1,"High-Spending, Frequent Buyers"
209,5772.571529459072,25,27,1,"High-Spending, Frequent Buyers"
210,10779.09723598208,14,43,0,"Low-Spending, Infrequent Buyers"
211,5856.3357660397505,28,44,2,"Moderate-Spending, Occasional Buyers"
212,6703.348460270899,18,40,0,"Low-Spending, Infrequent Buyers"
213,6431.002645239803,19,47,0,"Low-Spending, Infrequent Buyers"
214,5977.086876958697,29,23,1,"High-Spending, Frequent Buyers"
215,4527.096133039481,14,52,2,"Moderate-Spending, Occasional Buyers"
216,6138.453830739902,26,50,2,"Moderate-Spending, Occasional Buyers"
217,3840.7621781936423,17,42,2,"Moderate-Spending, Occasional Buyers"
218,4644.772089889987,28,53,2,"Moderate-Spending, Occasional Buyers"
219,4271.954678256345,24,18,1,"High-Spending, Frequent Buyers"
220,5122.811209079484,25,30,1,"High-Spending, Frequent Buyers"
221,8471.987850010264,24,28,0,"Low-Spending, Infrequent Buyers"
222,2199.102211112378,15,42,2,"Moderate-Spending, Occasional Buyers"
223,6029.390285561771,9,24,0,"Low-Spending, Infrequent Buyers"
224,2580.9261932155227,14,43,2,"Moderate-Spending, Occasional Buyers"
225,4292.10220131585,25,49,2,"Moderate-Spending, Occasional Buyers"
226,6633.42589545105,20,42,0,"Low-Spending, Infrequent Buyers"
227,5096.420028643194,23,38,2,"Moderate-Spending, Occasional Buyers"
228,3383.382833106041,21,25,1,"High-Spending, Frequent Buyers"
229,3927.0444361100476,17,27,1,"High-Spending, Frequent Buyers"
230,6019.396623402014,22,47,2,"Moderate-Spending, Occasional Buyers"
231,3904.450052424295,15,43,2,"Moderate-Spending, Occasional Buyers"
232,5324.687884372962,13,35,0,"Low-Spending, Infrequent Buyers"
233,5068.35775985572,24,31,1,"High-Spending, Frequent Buyers"
234,4022.5994785912744,21,18,1,"High-Spending, Frequent Buyers"
235,8215.916133987988,21,24,0,"Low-Spending, Infrequent Buyers"
236,5950.878533477016,18,54,2,"Moderate-Spending, Occasional Buyers"
237,1962.2861200135894,21,22,1,"High-Spending, Frequent Buyers"
238,5279.681472154141,24,37,1,"High-Spending, Frequent Buyers"
239,4007.320302847418,23,45,2,"Moderate-Spending, Occasional Buyers"
240,6278.650002194336,31,22,1,"High-Spending, Frequent Buyers"
241,3811.2188923509493,18,37,2,"Moderate-Spending, Occasional Buyers"
242,4827.895337799651,17,44,2,"Moderate-Spending, Occasional Buyers"
243,5757.4809184706855,19,35,0,"Low-Spending, Infrequent Buyers"
244,6298.632791255182,26,64,2,"Moderate-Spending, Occasional Buyers"
245,3199.555389416336,18,18,1,"High-Spending, Frequent Buyers"
246,4498.248146238578,23,46,2,"Moderate-Spending, Occasional Buyers"
247,4287.582033258565,22,33,1,"High-Spending, Frequent Buyers"
248,4020.0061511394324,24,43,2,"Moderate-Spending, Occasional Buyers"
249,7648.181360421646,21,39,0,"Low-Spending, Infrequent Buyers"
250,5607.472566441434,22,28,1,"High-Spending, Frequent Buyers"
251,3108.674068497432,21,37,2,"Moderate-Spending, Occasional Buyers"
252,6376.792920582164,21,18,1,"High-Spending, Frequent Buyers"
253,8183.23429551895,22,41,0,"Low-Spending, Infrequent Buyers"
254,6548.69789082672,17,38,0,"Low-Spending, Infrequent Buyers"
255,2720.94505106898,20,41,2,"Moderate-Spending, Occasional Buyers"
256,4273.648890700623,11,46,2,"Moderate-Spending, Occasional Buyers"
257,6900.366723779935,24,39,0,"Low-Spending, Infrequent Buyers"
258,3938.495801571829,24,36,1,"High-Spending, Frequent Buyers"
259,5665.729142219343,19,26,0,"Low-Spending, Infrequent Buyers"
260,6161.951080144005,18,28,0,"Low-Spending, Infrequent Buyers"
261,3609.6042926328755,13,47,2,"Moderate-Spending, Occasional Buyers"
262,4910.7119659073,21,49,2,"Moderate-Spending, Occasional Buyers"
263,500.0,22,33,1,"High-Spending, Frequent Buyers"
264,3463.418537998565,22,35,1,"High-Spending, Frequent Buyers"
265,4621.14777291026,14,26,0,"Low-Spending, Infrequent Buyers"
266,3128.3252270527255,25,47,2,"Moderate-Spending, Occasional Buyers"
267,7448.6169558974525,21,42,0,"Low-Spending, Infrequent Buyers"
268,2854.787933059051,15,54,2,"Moderate-Spending, Occasional Buyers"
269,4339.933269954525,18,26,1,"High-Spending, Frequent Buyers"
270,5196.110865929137,17,31,0,"Low-Spending, Infrequent Buyers"
271,7161.909933599173,17,37,0,"Low-Spending, Infrequent Buyers"
272,2846.206773230841,19,41,2,"Moderate-Spending, Occasional Buyers"
273,6744.745628232439,14,33,0,"Low-Spending, Infrequent Buyers"
274,5015.349591529381,23,26,1,"High-Spending, Frequent Buyers"
275,3527.7370234280734,19,44,2,"Moderate-Spending, Occasional Buyers"
276,5693.1552113949065,24,42,2,"Moderate-Spending, Occasional Buyers"
277,5298.589543360205,21,26,1,"High-Spending, Frequent Buyers"
278,4099.674684261808,24,49,2,"Moderate-Spending, Occasional Buyers"
279,5104.703127485029,31,47,2,"Moderate-Spending, Occasional Buyers"
280,4422.02960470736,11,36,0,"Low-Spending, Infrequent Buyers"
281,5170.276017876872,17,36,0,"Low-Spending, Infrequent Buyers"
282,5993.19601178157,27,41,1,"High-Spending, Frequent Buyers"
283,7379.025224218029,17,26,0,"Low-Spending, Infrequent Buyers"
284,3143.2767517597267,19,35,2,"Moderate-Spending, Occasional Buyers"
285,8199.5500619844,11,18,0,"Low-Spending, Infrequent Buyers"
286,2071.868300716247,7,44,2,"Moderate-Spending, Occasional Buyers"
287,4772.322357446625,27,19,1,"High-Spending, Frequent Buyers"
288,5882.475809726865,20,50,2,"Moderate-Spending, Occasional Buyers"
289,5421.487801602549,18,32,0,"Low-Spending, Infrequent Buyers"
290,4065.9507202691093,29,33,1,"High-Spending, Frequent Buyers"
291,4687.816624464087,19,29,1,"High-Spending, Frequent Buyers"
292,4260.498598011751,16,32,2,"Moderate-Spending, Occasional Buyers"
293,4115.952864583683,15,49,2,"Moderate-Spending, Occasional Buyers"
294,6274.403145531537,21,18,1,"High-Spending, Frequent Buyers"
295,5535.523228947571,14,48,2,"Moderate-Spending, Occasional Buyers"
296,3960.6356071090186,16,38,2,"Moderate-Spending, Occasional Buyers"
297,6349.399813149876,25,23,1,"High-Spending, Frequent Buyers"
298,5460.949281314914,20,24,1,"High-Spending, Frequent Buyers"
299,6219.29317825844,12,52,0,"Low-Spending, Infrequent Buyers"
300,5944.443262885418,21,26,1,"High-Spending, Frequent Buyers"
301,3756.5074836168915,19,23,1,"High-Spending, Frequent Buyers"
302,4159.728439704546,25,46,2,"Moderate-Spending, Occasional Buyers"
303,6120.940407684893,19,38,0,"Low-Spending, Infrequent Buyers"
304,5915.555398150197,22,26,1,"High-Spending, Frequent Buyers"
305,4968.647609053778,11,37,0,"Low-Spending, Infrequent Buyers"
306,5175.991074963173,24,25,1,"High-Spending, Frequent Buyers"
307,6916.497343682638,16,46,0,"Low-Spending, Infrequent Buyers"
308,4112.642916746255,15,46,2,"Moderate-Spending, Occasional Buyers"
309,5820.646071755057,24,40,2,"Moderate-Spending, Occasional Buyers"
310,4696.711021349159,16,39,2,"Moderate-Spending, Occasional Buyers"
311,4673.478195159169,16,53,2,"Moderate-Spending, Occasional Buyers"
312,6648.165277980785,19,35,0,"Low-Spending, Infrequent Buyers"
313,6238.124523482045,20,23,0,"Low-Spending, Infrequent Buyers"
314,6220.264454000958,13,39,0,"Low-Spending, Infrequent Buyers"
315,6958.218210731494,25,56,2,"Moderate-Spending, Occasional Buyers"
316,5031.505762449138,16,25,0,"Low-Spending, Infrequent Buyers"
317,6022.9294569424455,17,31,0,"Low-Spending, Infrequent Buyers"
318,4534.599865109816,21,39,2,"Moderate-Spending, Occasional Buyers"
319,5486.249528732663,24,34,1,"High-Spending, Frequent Buyers"
320,4804.785418448473,27,25,1,"High-Spending, Frequent Buyers"
321,5145.493947489077,15,46,2,"Moderate-Spending, Occasional Buyers"
322,5892.735538155371,24,58,2,"Moderate-Spending, Occasional Buyers"
323,3772.6689751497915,14,37,2,"Moderate-Spending, Occasional Buyers"
324,8138.580913528191,22,26,0,"Low-Spending, Infrequent Buyers"
325,3490.973927750447,19,20,1,"High-Spending, Frequent Buyers"
326,3178.717080818402,24,38,2,"Moderate-Spending, Occasional Buyers"
327,6737.166310250102,22,46,0,"Low-Spending, Infrequent Buyers"
328,6187.494040944404,26,40,1,"High-Spending, Frequent Buyers"
329,5936.179725578233,15,35,0,"Low-Spending, Infrequent Buyers"
330,5942.51826389642,21,29,0,"Low-Spending, Infrequent Buyers"
331,4981.629840729628,25,24,1,"High-Spending, Frequent Buyers"
332,3654.1184427712524,23,43,2,"Moderate-Spending, Occasional Buyers"
333,5113.70683729059,20,44,2,"Moderate-Spending, Occasional Buyers"
334,3984.2574327318325,19,20,1,"High-Spending, Frequent Buyers"
335,6462.679600126627,20,51,2,"Moderate-Spending, Occasional Buyers"
336,4779.413927746792,18,41,2,"Moderate-Spending, Occasional Buyers"
337,3761.7542048112327,13,49,2,"Moderate-Spending, Occasional Buyers"
338,4517.92123752051,14,22,0,"Low-Spending, Infrequent Buyers"
339,5619.397181413437,19,21,1,"High-Spending, Frequent Buyers"
340,4154.413170794038,22,34,1,"High-Spending, Frequent Buyers"
341,3766.669406650353,18,40,2,"Moderate-Spending, Occasional Buyers"
342,5365.530817237868,22,53,2,"Moderate-Spending, Occasional Buyers"
343,5367.449856663085,22,42,2,"Moderate-Spending, Occasional Buyers"
344,4239.585236943305,23,33,1,"High-Spending, Frequent Buyers"
345,4293.442541572516,16,25,1,"High-Spending, Frequent Buyers"
346,5348.074906036454,17,47,2,"Moderate-Spending, Occasional Buyers"
347,2827.8734877540137,23,25,1,"High-Spending, Frequent Buyers"
348,2888.804338435167,17,51,2,"Moderate-Spending, Occasional Buyers"
349,3922.333668121346,24,32,1,"High-Spending, Frequent Buyers"
350,4679.829272432229,17,51,2,"Moderate-Spending, Occasional Buyers"
351,5466.361348397007,22,42,2,"Moderate-Spending, Occasional Buyers"
352,7213.034325424328,13,34,0,"Low-Spending, Infrequent Buyers"
353,6286.489434803029,19,30,0,"Low-Spending, Infrequent Buyers"
354,4760.09220505486,21,32,1,"High-Spending, Frequent Buyers"
355,4971.475688145967,36,39,1,"High-Spending, Frequent Buyers"
356,3496.2059530432866,19,36,2,"Moderate-Spending, Occasional Buyers"
357,4972.230296011415,17,29,0,"Low-Spending, Infrequent Buyers"
358,4567.012041619792,17,33,2,"Moderate-Spending, Occasional Buyers"
359,5484.077840507134,23,36,1,"High-Spending, Frequent Buyers"
360,3759.1535846715155,25,18,1,"High-Spending, Frequent Buyers"
361,5779.019771361758,26,40,1,"High-Spending, Frequent Buyers"
362,7299.108369503867,23,25,0,"Low-Spending, Infrequent Buyers"
363,4836.859777314714,13,23,0,"Low-Spending, Infrequent Buyers"
364,5602.567583148412,17,18,0,"Low-Spending, Infrequent Buyers"
365,6035.215987566668,17,18,0,"Low-Spending, Infrequent Buyers"
366,4398.169292171246,23,21,1,"High-Spending, Frequent Buyers"
367,5336.138722715625,22,28,1,"High-Spending, Frequent Buyers"
368,5018.888601172693,27,55,2,"Moderate-Spending, Occasional Buyers"
369,5146.514147823247,12,30,0,"Low-Spending, Infrequent Buyers"
370,3840.4853242168,24,37,1,"High-Spending, Frequent Buyers"
371,5036.765261388414,25,39,1,"High-Spending, Frequent Buyers"
372,5746.997436868174,21,36,0,"Low-Spending, Infrequent Buyers"
373,7176.715411692563,22,34,0,"Low-Spending, Infrequent Buyers"
374,6438.90623912781,26,23,1,"High-Spending, Frequent Buyers"
375,8229.773686267334,20,50,0,"Low-Spending, Infrequent Buyers"
376,3848.9786556679255,17,53,2,"Moderate-Spending, Occasional Buyers"
377,6308.480955081017,24,18,1,"High-Spending, Frequent Buyers"
378,5275.013008607528,27,25,1,"High-Spending, Frequent Buyers"
379,8284.704399826509,21,32,0,"Low-Spending, Infrequent Buyers"
380,3787.552571967273,21,25,1,"High-Spending, Frequent Buyers"
381,3740.4172367288356,16,40,2,"Moderate-Spending, Occasional Buyers"
382,4100.911031833966,13,28,0,"Low-Spending, Infrequent Buyers"
383,1814.1564135352896,20,57,2,"Moderate-Spending, Occasional Buyers"
384,4211.367467478858,30,47,2,"Moderate-Spending, Occasional Buyers"
385,3861.301007669453,23,37,2,"Moderate-Spending, Occasional Buyers"
386,5225.590679714312,22,45,2,"Moderate-Spending, Occasional Buyers"
387,5512.633963665739,16,46,2,"Moderate-Spending, Occasional Buyers"
388,7814.256258823829,20,29,0,"Low-Spending, Infrequent Buyers"
389,6425.635757279075,14,27,0,"Low-Spending, Infrequent Buyers"
390,4134.644516506395,20,36,2,"Moderate-Spending, Occasional Buyers"
391,3652.377992977463,21,44,2,"Moderate-Spending, Occasional Buyers"
392,5737.8787572597585,16,36,0,"Low-Spending, Infrequent Buyers"
393,3019.650189469037,16,19,1,"High-Spending, Frequent Buyers"
394,7747.188148781531,13,27,0,"Low-Spending, Infrequent Buyers"
395,6769.16018108193,24,34,0,"Low-Spending, Infrequent Buyers"
396,4296.236521842943,20,34,1,"High-Spending, Frequent Buyers"
397,2430.2982063636837,28,55,2,"Moderate-Spending, Occasional Buyers"
398,7030.808561248119,13,21,0,"Low-Spending, Infrequent Buyers"
399,4828.190232121073,14,40,2,"Moderate-Spending, Occasional Buyers"
